0 
0 
42 
97 
152 
207 
262 
317 
588 23 
495 78 
400 133 
381 187 
360 242 
279 297 
296 277 
276 294 
293 274 
273 292 
278 296 
270 289 
300 281 
176 188 193 
197 185 190 
194 181 186 
190 178 183 
187 199 180 
184 196 176 
180 193 198 
177 189 195 
199 186 191 
195 183 188 
192 179 184 
188 176 181 
184 197 177 
181 194 198 
177 191 195 
199 187 192 
196 183 188 
192 180 185 
189 176 181 
185 198 178 
182 194 200 
179 191 196 
200 188 193 
197 184 189 
193 181 186 
190 177 183 
187 199 179 
183 196 176 
180 192 198 
176 189 194 
197 186 190 
194 182 186 
191 179 183 
187 200 180 
184 196 176 
180 193 198 
177 189 195 
199 186 191 
195 182 188 
192 179 184 
188 176 181 
185 197 178 
182 194 199 
178 191 196 
200 187 193 
197 184 189 
193 181 186 
189 177 181 
186 199 178 
182 196 200 
179 192 196 
175 188 193 
197 184 190 
194 181 186 
190 178 183 
187 199 180 
184 196 176 
180 192 198 
177 189 194 
198 186 191 
195 182 188 
192 179 184 
188 201 181 
185 197 178 
181 194 199 
177 190 195 
199 187 191 
195 184 188 
192 179 185 
189 176 181 
185 198 178 
182 194 200 
179 191 196 
200 188 193 
197 184 189 
195 181 186 
190 177 183 
187 199 179 
183 196 176 
180 192 198 
177 189 194 
198 186 191 
194 182 187 
190 179 183 
187 200 180 
184 197 176 
180 193 198 
177 189 195 
199 186 191 
195 183 188 
192 179 184 
188 176 181 
185 197 178 
182 194 199 
178 191 196 
200 187 193 
197 184 189 
193 180 186 
190 177 182 
185 199 178 
182 195 200 
179 192 196 
200 188 193 
197 184 189 
193 181 186 
190 177 182 
194 207 188 
202 215 196 
209 222 228 
217 230 236 
249 237 243 
257 245 251 
264 252 258 
272 285 266 
276 292 265 
272 290 298 
266 285 292 
298 281 288 
294 275 282 
288 270 278 
283 264 272 
278 298 267 
273 292 299 
268 286 294 
301 282 289 
282 263 271 0 
290 269 277 66 
251 232 239 111 
222 240 247 157 
229 209 217 202 
209 224 202 219 
199 213 219 208 
216 201 207 225 
204 219 224 214 
222 208 214 204 
203 216 222 211 
200 214 220 210 
198 213 218 207 
225 211 217 205 
223 208 215 204 
221 207 212 202 
220 206 211 202 
218 205 210 199 
217 203 209 198 
215 201 207 224 
214 199 204 223 
212 198 203 221 
210 224 202 220 
209 223 201 218 
207 222 200 216 
206 220 197 215 
204 218 223 213 
201 216 222 212 
200 215 220 209 
198 213 219 208 
225 212 217 206 
224 209 215 205 
222 208 214 203 
220 206 212 201 
218 205 210 199 
217 203 209 198 
215 201 206 224 
213 199 205 223 
212 198 204 222 
210 225 202 219 
208 223 200 217 
206 221 198 215 
205 218 224 214 
202 217 222 213 
201 216 223 210 
200 214 220 209 
199 213 219 208 
225 211 216 206 
224 209 214 204 
221 207 213 201 
219 205 211 200 
218 204 210 198 
216 201 207 224 
214 199 205 223 
212 198 203 221 
210 224 202 219 
208 222 200 217 
207 221 197 215 
204 218 224 214 
202 217 222 212 
201 215 221 210 
199 213 219 208 
225 212 217 206 
224 209 215 206 
223 209 214 204 
221 207 213 202 
219 206 211 200 
218 204 210 198 
216 202 207 225 
214 200 206 223 
212 198 204 222 
211 225 202 220 
209 225 201 218 
208 222 199 216 
205 220 225 215 
204 218 224 214 
203 217 223 212 
201 216 221 210 
200 214 220 208 
226 211 217 207 
224 210 216 206 
223 209 214 205 
222 208 214 204 
220 207 212 201 
219 204 210 199 
216 202 208 198 
215 201 207 225 
214 200 206 223 
212 198 204 221 
211 225 202 220 
209 223 201 218 
207 221 199 216 
205 220 225 215 
204 218 224 212 
202 216 222 211 
200 214 220 209 
198 213 219 208 
225 211 217 206 
223 209 215 203 
221 208 213 202 
220 205 211 201 
202 186 190 178 
174 158 162 178 
146 130 134 150 
118 102 106 121 
90 102 77 93 
61 73 77 
33 17 21 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
